numberOfNonTrivialBugsFoundUntil:,CvsWEntropy,CvsEntropy,ck_oo_wmc,CvsLogEntropy,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,class
4,0.393707,10.1322,33,0.308139,3.1,5,125,11,1,2,55,36,7,3.22,11,3.05,1.01,4,8,8,0
71,2.09375,38.2812,300,1.12823,34.22,53,1217,48,1,1,1128,605,54,39.75,67,16.31,1.01,78,7,7,0
5,0.484675,9.49506,48,0.287726,4.38,16,214,8,1,11,28,79,26,3.64,7,8.28,1.01,5,7,2,1
38,0.811584,27.5814,187,0.756585,18.7,37,535,25,1,6,300,268,39,22.48,1,11.13,2.02,40,17,10,0
1,0.03194,7.55094,10,0.204387,2.04,1,31,8,2,1,28,12,2,2.06,1,1.01,3.05,1,22,7,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
7,0.748927,7.74631,49,0.255544,5.32,16,198,13,2,0,78,118,16,4.51,6,2.06,1.01,7,24,2,0
1,0,0,2,0,0,2,26,2,1,0,1,18,2,0,0,0,0,1,9,2,1
21,0.519229,19.6679,168,0.49991,18.86,29,516,24,1,1,276,337,29,17.27,13,10.25,1.01,21,7,0,0
4,0.096672,5.64169,36,0.1548,2.05,8,114,20,1,4,190,66,12,2.07,18,2.02,1.02,4,22,16,0
2,0.034083,5.76365,7,0.168368,0,2,21,9,1,8,36,12,10,1.01,2,2.03,1.01,2,7,5,1
5,0.184141,5.94951,4,0.142004,3.13,1,13,5,2,1,10,9,2,3.26,0,1.01,13.4,6,97,5,0
1,0,0,28,0,0,0,153,3,1,1,3,7,1,0,2,0,0,1,7,2,1
1,0,0,2,0,0,1,6,2,1,0,1,3,1,0,0,0,0,1,7,2,1
