numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
4,8.73596,11,3,30,52,7,4,2,21,15,1.02,4,1.05,1,1.02,9.18,4,127,4,1.03,1
3,7.99162,14,5,44,0,9,1,1,36,26,1.04,5,2.13,2,1.04,1.01,4,8,9,2.06,1
4,8.89835,12,1,34,61,2,4,1,1,3,1.01,2,2.03,6,1.01,10.15,4,45,1,1.2,1
35,30.8847,253,22,787,414,21,6,10,210,277,4.04,32,18.65,5,6.07,4.05,40,94,21,24.14,0
2,2.80457,10,0,28,405,5,3,1,10,13,2.02,1,2.08,1,2.02,9.44,2,73,0,2.15,1
41,24.4246,269,17,708,380,11,2,8,55,172,2.02,24,10.84,8,5.06,2.02,48,27,5,17.09,0
18,20.393,59,10,230,0,9,1,2,36,45,3.05,12,9.37,13,3.05,1.01,20,9,6,14.69,0
2,1.47165,55,12,246,0,8,1,2,28,53,0,14,0,4,0,0,2,8,0,1.02,1
8,12.482,52,6,199,3,12,2,20,66,45,0,25,4.12,6,2.02,0,9,10,9,6.44,0
6,7.52192,15,7,58,3,5,2,4,10,28,1.05,10,1.2,3,2.06,2.1,6,10,5,2.34,0
1,7.18983,18,3,72,385,6,6,0,15,16,1.01,3,0,1,2.02,5.06,1,79,5,0,1
13,17.658,65,6,240,61,9,4,3,36,53,2.02,9,3.05,8,3.03,10.15,16,45,5,11.45,0
4,11.8043,56,6,193,9,24,5,11,276,54,2.03,17,4.11,10,4.05,4.07,7,42,20,4.5,1
7,11.2897,44,5,124,68,9,2,1,36,30,1.04,5,1.04,1,1.04,4.04,8,33,5,1.21,1
8,9.64599,27,6,110,95,16,3,1,120,59,0,6,0,7,0,3.05,9,73,6,0,1
8,7.95479,33,3,127,95,20,3,4,190,63,0,7,0,7,6.07,2.02,10,82,7,0,1
2,8.22982,17,3,52,0,10,1,1,45,34,0,4,1.01,1,1.11,1.01,3,17,10,1.01,1
10,17.3206,58,13,253,412,8,5,1,28,73,1.01,14,4.04,2,1.01,5.06,10,94,8,2.02,1
