numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,ck_oo_numberOfAttributes,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
2,4.17568,3,0,11,3,1,6,3,3,6,3,4.04,0.010839,3.06,2,0,0.010398,18,3,0,1
1,0.792859,0,0,0,2,1,1,1,2,1,0,0,0.012267,0,1,0,0,9,0,0,1
4,3.50218,139,5,422,22,1,1,231,77,6,64,1.01,0.020467,1.01,4,0.020279,0.005149,9,12,1.16,1
1,1.35264,140,1,747,13,2,0,78,77,1,11,0,0.035057,0,1,0,0,35,1,0,1
1,2.08776,6,2,23,6,2,0,15,10,2,3,0,0.017221,0,1,0,0,15,6,0,1
0,3.0742,6,1,10,6,3,1,15,10,2,0,0,0.00472,4.04,0,0,0.013377,17,6,0,1
4,6.91215,11,2,54,6,2,4,15,16,6,2,3.03,0.016273,4.07,4,0,0.013377,21,6,1.21,0
2,1.23854,8,1,43,4,1,4,6,18,5,2,0,0.051922,0,2,0,0,9,3,0,1
0,2.42975,3,5,22,2,1,1,1,16,6,5,0,0.004481,3.03,0,0,0.010398,10,2,0,1
6,9.29826,8,2,20,3,1,7,3,6,9,26,7.11,0.070648,3.03,6,0.004804,0.010398,9,0,3.2,1
17,12.4762,61,9,195,23,3,10,253,97,18,11,8.11,0.051998,5.08,17,0.003956,0.013074,48,19,8.45,1
2,2.65048,2,3,21,2,1,1,1,16,4,6,0,0.083459,0,2,0,0,9,2,0,1
2,0.96755,10,6,37,4,2,0,6,22,6,2,1.02,0.003164,0,2,0.003733,0,39,4,0,1
1,0.938338,19,1,73,5,1,1,10,25,2,1,0,0.011186,0,1,0,0,10,4,0,1
1,4.30098,9,1,27,9,2,2,36,17,3,1,1.01,0.011327,5.08,1,0,0.039276,31,9,2.06,1
4,10.1352,25,5,111,13,3,8,78,38,13,3,2.02,0.017019,3.06,4,0.000706,0.010398,37,11,1.03,0
9,6.71691,15,3,61,5,3,1,10,19,3,3,0,0.024071,4.08,9,0,0.017531,35,5,3.15,1
3,6.09962,14,1,58,8,2,0,28,18,1,4,2.02,0.012771,3.03,3,0.000404,0.008406,24,7,2.34,1
1,3.66829,1,2,10,2,1,1,1,6,3,0,1.01,0.056403,3.03,1,0.03059,0.010398,10,2,0,1
0,0,7,4,22,3,3,1,3,9,5,1,2.02,0,5.05,0,0.02301,0.024375,16,3,1.04,1
1,2.55041,17,0,51,18,1,3,153,20,3,8,0,0.053311,3.03,1,0,0.010398,9,18,0,1
0,0,12,8,72,5,2,1,10,23,9,14,0,0,0,0,0,0,11,0,0,1
2,2.2048,9,1,38,5,1,9,10,9,10,0,2.03,0.043804,0,2,0,0,9,5,1.09,1
0,0.740259,12,9,70,2,1,0,1,38,9,0,3.03,0.000755,3.03,0,0.02407,0.010398,9,2,0,1
5,5.97302,9,4,31,6,1,1,15,22,5,3,1.01,0.065806,1.01,5,0.001453,0.005149,11,5,0,1
0,3.0742,12,3,41,6,3,1,15,18,4,3,1.01,0.00472,4.04,0,0.003144,0.013377,17,6,0,1
0,0,11,5,45,5,2,1,10,15,6,6,0,0,0,0,0,0,11,0,0,1
2,4.71817,6,8,47,2,1,1,1,12,9,4,0,0.065434,2.02,2,0,0.00831,10,2,1.08,1
2,2.46341,10,4,40,3,1,1,3,12,5,7,1.02,0.039978,0,2,0.03059,0,11,3,1.01,1
3,5.92561,6,2,20,4,1,3,6,10,5,3,1.01,0.063889,3.06,3,0,0.010398,18,4,0,0
6,7.77801,3,0,7,4,1,90,6,5,90,0,17.25,0.052783,3.03,6,0,0.010398,9,4,3.06,0
21,19.5286,53,11,306,33,1,19,528,107,29,19,14.25,0.146444,0,21,0.022297,0,0,27,11.2,0
2,1.39384,4,2,21,3,1,2,3,6,4,7,0,0.016152,2.02,2,0,0.00831,9,3,1.03,1
2,7.01764,16,2,37,10,1,72,45,18,74,2,17.32,0.041808,3.06,2,0,0.010398,18,7,1.04,1
5,8.32875,41,10,123,5,2,1,10,25,11,2,2.04,0.070497,4.04,5,0.00412,0.012964,19,0,2.35,1
2,2.5991,14,4,74,8,3,2,28,36,6,9,1.01,0.041912,1.01,2,0.020279,0.01201,16,2,1.01,1
2,1.54522,32,10,189,13,2,1,78,64,10,9,0,0.027315,0,2,0,0,16,4,1.01,0
1,1.18716,13,1,50,10,1,3,45,14,4,4,0,0.010376,0,1,0,0,27,10,0,1
8,9.35438,6,6,66,3,2,2,3,41,8,0,1.03,0.092204,2.03,8,0.002985,0.004949,39,3,5.52,1
1,1.18716,3,0,9,3,1,2,3,3,2,2,0,0.010376,0,1,0,0,9,2,0,1
3,6.61495,31,4,98,9,3,1,36,41,5,8,2.02,0.010607,4.04,3,0.004106,0.013377,17,7,1.01,1
2,6.52069,17,4,78,8,3,1,28,25,5,5,4.04,0.018049,4.04,2,0.007839,0.013377,17,6,2.28,1
5,6.8389,23,5,76,11,1,9,55,21,14,3,9.13,0.056712,3.15,5,0.020279,0.011701,27,11,2.48,1
2,1.39384,17,2,96,11,2,5,55,23,7,8,3.03,0.016152,3.05,2,0,0.010808,33,10,1.06,1
1,2.24283,5,3,34,2,1,1,1,15,4,0,0,0.055584,1.01,1,0,0.005149,10,2,0,1
1,2.3444,1,8,35,1,1,0,0,18,8,0,0,0.010205,1.01,1,0,0.005149,9,1,1.01,1
2,5.06437,5,1,39,3,2,1,3,8,2,3,0,0.011733,3.09,2,0,0.010398,39,3,0,1
2,2.40151,8,5,36,4,1,2,6,17,7,4,1.01,0.009604,2.02,2,0.001164,0.00831,9,3,1.07,1
6,14.6136,42,10,140,15,2,12,105,75,21,4,6.07,0.12129,3.09,6,0.001313,0.010398,39,11,2.5,0
3,2.62836,64,14,174,24,2,5,276,123,16,4,2.03,0.065835,2.03,3,0.00604,0.03425,58,19,1.19,0
1,1.23854,16,5,61,10,3,0,45,24,5,1,0,0.051922,0,1,0,0,55,9,0,1
1,3.28866,18,8,71,7,2,6,21,57,14,10,1.14,0.007742,2.03,1,0.001763,0.004949,39,1,1.62,1
42,13.9297,177,27,829,70,1,9,2415,263,34,60,10.22,0.121367,2.02,42,0.050384,0.00831,9,0,21.58,0
2,2.74289,7,4,34,3,1,2,3,14,6,2,0,0.005624,3.03,2,0,0.010398,9,3,0,1
1,1.17486,15,9,64,5,1,0,10,33,9,2,0,0.003618,2.02,1,0,0.00831,9,1,0,1
2,2.55842,10,2,58,8,2,1,28,17,3,7,0,0.015689,2.02,2,0,0.00831,17,0,0,1
2,2.55041,18,3,60,10,1,4,45,30,7,2,0,0.053311,3.09,2,0,0.010398,39,10,0,1
2,2.76873,24,3,87,3,1,1,3,28,4,5,0,0.037311,7.14,2,0,0.041644,27,2,0,1
2,2.2048,18,13,130,3,2,1,3,35,14,6,0,0.043804,0,2,0,0,11,2,2.12,0
2,4.67638,24,1,89,16,1,45,120,37,46,3,17.23,0.014539,3.06,2,0,0.010398,18,15,3.32,1
1,1.17486,18,1,51,12,1,5,66,16,6,5,0,0.003618,2.02,1,0,0.00831,9,9,0,1
6,12.8567,46,12,280,15,1,17,105,86,29,7,4.18,0.114258,3.03,6,0.001313,0.010398,9,14,3.17,1
1,1.17486,5,1,19,5,2,3,10,9,4,4,0,0.003618,3.03,1,0,0.011468,15,5,0,1
0,0,21,1,53,8,1,1,28,16,2,13,0,0,0,0,0,0,9,4,0,1
2,1.54522,43,14,229,10,2,0,45,53,14,3,2.05,0.027315,0,2,0.035827,0,16,2,3.07,1
1,1.17515,3,1,9,3,2,4,3,4,5,1,0,0.006345,1.01,1,0,0.027761,11,3,0,1
0,0,6,1,20,5,1,6,10,6,7,3,1.05,0,3.03,0,0,0.010398,11,5,0,1
2,4.01101,3,3,22,1,1,0,0,11,3,0,2.02,0.060364,3.03,2,0.003082,0.010398,9,1,0,1
30,27.817,2,0,6,2,2,1,1,2,1,4,1.01,0.146834,8.12,30,0,0.027347,27,2,0,0
1,0.60098,17,5,60,9,1,1,36,27,6,5,0,0.003885,0,1,0,0,24,9,0,1
1,2.88097,15,2,50,8,1,1,28,18,3,3,0,0.055174,3.03,1,0,0.010398,15,7,0,1
1,0.792859,7,3,37,5,2,1,10,12,3,4,0,0.012267,0,1,0,0,13,5,0,1
1,0.792859,0,0,0,5,1,2,10,5,2,0,0,0.012267,0,1,0,0,9,0,0,1
1,3.81886,4,0,11,4,2,1,6,4,1,1,0,0.056466,4.04,1,0,0.011292,12,4,0,1
3,5.76219,31,10,116,16,2,2,120,69,12,0,2.06,0.066004,2.03,3,0.002985,0.004949,39,11,3.58,0
0,1.31187,17,3,57,4,1,2,6,26,5,5,0,0.001388,7.14,0,0,0.041644,27,2,0,1
10,17.2681,33,9,265,18,2,1,153,73,10,4,3.03,0.091274,4.04,10,0.005819,0.012964,19,4,7.56,1
6,16.8263,33,9,226,10,1,4,45,84,11,8,6.08,0.118878,4.12,6,0.011488,0.016886,18,6,3.11,0
1,1.18716,6,2,19,2,1,0,1,7,2,3,0,0.010376,0,1,0,0,18,1,0,1
1,0.871061,15,2,76,2,1,2,1,8,4,6,0,0.005231,0,1,0,0,9,2,0,0
3,4.74253,6,1,27,2,3,1,1,7,2,9,0,0.088184,3.04,3,0,0.010279,16,2,1.01,1
1,3.81153,2,5,18,2,1,1,1,9,6,2,0,0.05662,3.03,1,0,0.010398,10,2,0,1
4,5.63409,11,0,41,10,1,4,45,15,4,6,3.03,0.015198,4.14,4,0,0.011292,18,0,3.41,1
1,0.788836,16,3,55,4,1,3,6,13,6,1,0,0.010028,0,1,0,0,9,0,0,0
1,3.28866,17,5,69,14,1,9,91,34,14,10,2.08,0.007742,2.04,1,0,0.00831,18,12,0,1
0,2.42975,1,1,3,1,2,0,0,2,1,0,0,0.004481,3.03,0,0,0.010398,11,1,0,1
1,0.792859,6,1,13,6,2,1,15,7,2,2,0,0.012267,0,1,0,0,13,1,0,1
1,0.60098,10,0,33,10,1,9,45,10,9,9,0,0.003885,0,1,0,0,18,6,0,1
0,0,4,2,16,2,2,0,1,8,2,0,0,0,4.04,0,0,0.012964,19,1,0,1
2,2.35699,6,2,32,6,2,4,15,18,6,1,0,0.04406,0,2,0,0,13,6,1.01,1
1,1.48053,11,0,37,11,1,5,55,11,5,5,2.02,0.003655,2.02,1,0,0.00831,9,11,1.37,1
0,0,3,4,15,3,2,0,3,10,4,3,2.02,0,3.06,0,0.005716,0.010398,15,3,0,1
0,1.25878,7,4,21,2,3,1,1,8,5,2,2.02,0.001304,5.05,0,0.02301,0.024375,16,2,1.01,1
1,1.18716,44,5,267,18,1,1,153,73,6,9,0,0.010376,0,1,0,0,27,12,0,1
9,16.8684,8,2,24,8,1,0,28,21,2,12,2.11,0.114725,4.05,9,0.002508,0.010398,17,8,7.47,0
34,31.8654,48,16,214,50,1,138,1225,124,153,5,37.87,0.166162,3.03,34,0.010245,0.010398,9,39,15.31,0
4,1.76352,10,1,35,5,2,1,10,14,2,4,0,0.005963,2.02,4,0,0.008307,15,5,0,1
