numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,CvsLogEntropy,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,class
4,1.49003,10,0.121386,3,31,8,2,5,28,18,8,1.07,3,0,3,1.02,1.02,4,36,6,1
20,19.681,3,9.58032,10,85,2,1,4,1,20,14,1.01,3,24,2,3.04,2.02,40,9,1,0
0,0,2,0,1,9,2,1,1,1,3,2,0,2,0,2,0,0,1,9,1,0
6,10.6655,16,9.40365,1,51,14,1,10,91,16,11,1.02,10,7,6,8.1,2.04,10,18,14,1
5,8.10051,20,9.29601,3,74,14,1,11,91,33,14,1.01,13,6,1,9.16,5.31,10,31,12,1
2,5.22331,3,9.18542,1,10,3,1,0,3,6,1,0,0,2,0,0,0,4,0,3,1
4,12.3488,10,9.47392,3,34,2,2,2,1,15,5,4.06,1,10,1,4.04,2.02,13,17,1,1
0,0,7,0,1,25,3,1,2,3,8,3,0,0,1,0,2.02,2.06,2,32,3,1
5,11.6328,4,9.41034,1,18,3,1,0,3,11,1,1.01,2,7,0,0,0,10,0,2,1
2,2.02245,4,0.050459,2,44,4,1,0,6,11,2,2.04,3,4,3,3.03,3.15,4,0,4,1
0,4.46389,7,9.17814,0,23,4,4,2,6,5,2,0,2,3,0,1.01,4.09,4,47,2,1
4,1.49003,2,0.121386,0,6,2,1,2,1,3,2,0,1,0,0,0,0,4,0,2,1
0,1.84703,7,9.09329,2,21,7,2,2,21,10,4,0,1,1,1,1.01,1.01,3,15,7,1
14,3.39585,3,0.099537,5,12,4,3,2,6,25,6,7.21,14,0,13,3.08,1.04,16,75,4,1
4,1.49003,2,0.121386,12,76,1,3,0,0,37,12,1.02,0,0,0,1.02,0,4,5,0,0
1,2.9065,12,0.076735,0,32,6,1,1,15,9,1,0,2,0,0,1.01,2.02,1,9,6,1
2,4.70448,4,9.20262,2,14,3,1,0,3,11,2,1.02,0,2,0,1.01,0,4,0,2,1
3,7.66451,15,9.27709,2,69,11,1,2,55,27,4,0,6,3,6,3.03,2.04,7,18,10,1
1,0,1,0,0,2,1,1,0,0,1,0,0,2,0,1,0,0,1,0,0,1
1,0,12,0,13,60,5,2,1,10,32,14,0,2,1,2,0,0,1,4,4,1
2,1.40719,19,0.034881,2,71,17,1,0,136,38,2,0,4,2,4,1.01,2.02,2,9,15,1
2,0,8,0,6,33,4,3,1,6,20,6,0,4,0,4,0,1.1,3,43,4,1
6,1.78572,26,0.052765,1,122,15,1,1,105,68,2,2.35,5,0,4,1.01,4.13,6,113,9,1
0,0,4,0,3,18,4,1,2,6,9,5,0,2,0,2,1.01,0,2,9,4,1
0,3.13741,4,9.14037,1,16,4,2,0,6,6,1,0,1,2,1,0,3.04,3,19,3,1
10,6.87646,11,9.32549,9,79,9,1,15,36,34,24,4.15,7,13,7,10.24,1.01,17,9,8,1
11,20.4305,63,9.72916,9,217,7,1,1,21,49,9,12.32,10,19,10,4.04,2.02,36,9,2,1
3,1.49003,4,0.121386,1,13,4,2,2,6,5,3,0,2,0,2,1.01,1.1,3,22,1,1
0,0,21,0,0,62,21,1,3,210,21,3,0,11,2,11,2.02,0,2,18,21,0
15,15.72,84,0.421471,15,456,16,1,0,120,142,15,7.9,2,14,2,9.18,2.02,40,9,1,1
4,10.6456,8,9.43518,5,64,7,1,1,21,20,6,2.02,5,7,4,2.02,0,12,0,4,1
1,1.84703,19,9.09329,3,61,7,1,1,21,17,4,0,1,1,1,1.01,1.01,3,9,7,1
3,7.58067,17,9.27729,3,54,4,1,0,6,25,3,1.02,2,4,2,1.01,5.31,8,31,4,1
3,3.33706,11,9.21468,0,36,11,1,31,55,11,31,0,5,0,5,5.08,0,4,9,11,1
4,8.73103,7,9.32615,0,23,7,2,6,21,8,6,3.06,5,7,5,1.01,3.08,9,22,7,1
3,5.41242,34,9.19356,11,307,10,1,0,45,129,11,1.21,13,3,0,6.07,2.02,6,9,7,1
4,11.5189,7,9.39297,3,34,4,1,0,6,19,3,0,9,6,3,1.01,2.02,10,9,2,1
2,6.11627,4,9.25218,3,13,4,2,0,6,8,3,1.01,1,4,0,0,2.02,7,17,0,1
0,1.84703,12,9.09329,1,47,6,1,1,15,14,2,0,2,2,1,0,0,3,0,4,1
2,3.33706,3,9.21468,1,9,3,2,0,3,4,1,1.01,1,1,1,0,1.01,3,15,0,1
4,9.62849,5,9.40165,5,99,4,1,2,6,25,7,3.45,2,7,1,6.12,0,12,0,4,1
0,0,1,0,0,3,1,1,0,0,2,0,0,3,0,1,0,0,2,0,1,1
1,0,11,0,10,122,9,3,1,36,36,11,0,4,1,4,0,0,1,49,7,0
0,0,2,0,1,9,2,1,1,1,3,2,0,2,0,2,0,0,1,9,1,0
11,11.4778,18,9.44939,14,63,12,2,0,66,44,14,4.15,0,12,0,4.08,8.12,18,31,12,1
1,4.58293,14,9.17116,0,41,14,1,2,91,14,2,0,6,3,6,0,2.02,4,9,14,1
10,18.4529,3,9.61644,9,84,3,2,1,3,36,10,3.42,1,12,1,5.21,2.09,26,7,2,0
2,3.39209,7,9.15904,1,23,6,4,3,15,8,4,0,1,3,1,1.01,6.96,3,170,6,1
5,10.5612,17,9.34163,3,65,4,1,3,6,27,6,0,0,6,0,0,2.02,9,9,4,1
0,5.0865,12,0.166306,0,43,7,1,0,21,10,0,0,3,2,3,1.03,3.29,3,9,7,1
0,0,1,0,0,3,1,1,0,0,2,0,0,2,0,1,0,0,1,0,1,1
1,3.37801,6,9.16485,4,106,4,1,2,6,16,6,0,4,2,4,1.01,0,7,0,4,0
1,1.84703,7,9.09329,1,22,7,1,1,21,9,2,0,4,2,4,2.02,1.01,3,14,6,1
1,0,1,0,0,3,1,1,0,0,2,0,0,39,1,1,0,0,3,0,1,0
13,18.8264,6,9.60696,1,19,6,1,2,15,7,3,0,5,11,4,2.02,3.09,22,9,6,1
1,0,7,0,0,23,7,1,4,21,8,4,1.02,4,0,3,0,0,3,0,7,1
3,4.15475,6,9.19857,0,20,6,1,4,15,6,4,0,4,4,4,2.03,1.01,6,9,6,1
1,6.83865,7,9.28183,4,19,3,3,1,3,7,5,0,0,5,0,0,4.15,6,42,3,1
1,1.84703,9,9.09329,1,29,8,1,2,28,14,2,0,3,2,3,1.01,1.01,3,15,8,1
4,5.94514,39,9.22122,2,82,14,3,0,91,35,2,0,7,5,7,2.03,2.08,7,52,14,1
0,1.34306,8,0.032607,0,27,5,1,1,10,7,1,0,0,1,0,0,0,1,0,5,1
2,13.9579,8,9.49991,11,133,6,2,0,15,44,11,1.03,3,8,3,5.05,0,11,12,1,1
3,1.49003,66,0.121386,14,309,34,2,1,561,159,15,2.08,8,0,8,3.03,0,5,27,30,1
5,11.7194,13,9.43991,7,111,6,1,1,15,47,8,2.03,4,8,3,5.06,0,12,0,3,1
4,5.94514,12,9.22122,1,40,7,2,0,21,12,1,0,3,5,3,1.03,3.31,7,25,7,1
9,9.68542,6,9.43089,6,31,2,1,9,1,13,15,1.02,0,10,0,1.01,2.02,19,9,1,1
3,4.61832,26,9.17816,5,76,13,2,3,78,29,7,1.01,2,4,1,0,2.02,6,23,13,1
1,0,7,0,3,22,3,1,1,3,11,4,0,1,3,1,0,0,3,0,3,0
6,3.33706,13,9.21468,3,53,10,1,3,45,25,5,1.1,1,0,1,2.02,0,6,0,5,1
3,1.49003,3,0.121386,3,11,2,3,0,1,8,3,0,2,0,2,1.08,1.1,3,39,2,1
0,0,108,0,35,461,15,1,5,105,259,40,0,29,1,29,0,0,1,9,4,0
1,4.7898,12,9.21441,1,36,12,1,12,66,36,13,2.27,0,2,0,5.07,1.01,5,9,12,1
7,2.38141,61,9.07779,20,263,31,2,3,465,164,23,6.35,13,0,4,4.05,2.09,10,12,26,1
3,1.49003,12,0.121386,4,24,4,3,1,6,16,5,0,1,0,1,1.01,1.1,3,43,4,1
0,7.58607,27,9.3141,8,205,18,1,1,153,55,9,1.01,11,3,10,6.06,0,6,0,12,1
3,0,18,0,9,83,14,1,3,91,59,11,1.08,6,2,6,2.03,0,4,9,14,1
2,0,3,0,1,9,4,2,1,6,5,2,0,2,0,2,0,1.1,3,22,1,1
2,2.8654,2,0.077595,1,6,2,2,0,1,5,1,1.03,0,2,0,1.01,3.03,3,11,2,1
6,2.38141,12,9.07779,5,50,7,2,2,21,29,7,1.01,1,0,1,1.01,3.07,6,14,7,0
0,3.24474,17,9.14866,3,51,15,1,0,105,27,3,0,0,2,0,0,2.02,3,9,15,1
1,3.26838,3,9.16383,1,26,2,2,0,1,8,1,0,1,2,1,0,1.01,4,11,2,1
1,0,28,0,22,146,15,1,9,105,84,29,0,2,1,2,0,0,1,13,13,0
40,35.5302,28,10.0764,9,198,9,4,1,36,73,10,9.2,14,42,11,7.1,8.3,67,78,3,1
1,4.88878,2,9.22338,1,5,1,2,0,0,2,1,0,0,3,0,0,0,5,1,0,1
1,1.84703,1,9.09329,0,3,1,1,1,0,1,1,0,1,1,1,0,2.03,2,26,1,1
0,0,1,0,0,3,1,1,0,0,2,0,0,4,0,1,0,0,1,0,1,1
0,0,1,0,2,6,1,1,1,0,8,3,0,0,0,0,0,0,1,0,1,1
0,2.88496,32,0.079964,5,186,7,1,1,21,41,6,1.04,3,0,3,1.02,4.25,0,125,4,1
1,0,5,0,3,40,3,1,1,3,21,3,0,6,1,3,0,0,2,9,1,0
1,3.7967,6,9.14904,3,16,2,1,1,1,10,4,0,0,2,0,0,2.02,2,9,2,1
3,0,46,0,14,227,21,2,1,210,129,15,0,9,0,8,2.02,0,3,12,19,1
4,8.24642,7,0.205613,1,23,3,1,0,3,8,1,0,2,6,2,0,3.05,10,9,3,1
0,0,10,0,10,134,9,1,2,36,68,12,1.05,6,0,6,0,0,4,0,4,0
1,0,1,0,0,3,1,1,0,0,2,0,0,24,1,1,0,0,2,0,1,1
14,15.0673,38,9.58228,10,251,10,1,5,45,67,15,4.15,7,19,7,4.06,0,29,0,5,0
1,0.95565,31,0.136886,5,130,8,1,3,28,48,8,1.01,2,2,2,2.02,1.01,5,9,7,0
6,14.3114,4,9.46929,0,14,4,1,8,6,6,8,0,1,11,0,5.06,0,16,0,4,1
0,0,1,0,0,3,1,2,0,0,1,0,0,0,1,0,0,0,1,18,1,1
0,0,1,0,1,8,1,1,0,0,2,1,0,7,0,2,0,2.02,0,9,1,1
2,0,1,0,0,3,1,1,0,0,2,0,0,13,2,1,0,0,3,0,1,1
9,12.7925,29,9.56194,11,136,16,1,1,120,60,12,8.36,8,8,6,5.09,3.05,16,12,10,1
14,14.1081,21,9.57627,16,324,12,3,1,66,83,17,5.21,10,13,10,3.05,1.05,25,14,6,0
3,4.15475,8,9.19857,2,31,7,1,7,21,11,9,1.01,2,3,2,5.05,1.01,4,9,7,1
3,7.45802,2,9.31408,1,6,2,1,2,1,4,3,1.03,0,7,0,1.02,2.02,9,9,2,1
11,13.2646,8,9.50082,6,54,3,1,2,3,17,8,3.05,1,15,0,3.03,0,23,0,2,0
1,0,2,0,1,9,2,1,1,1,3,2,0,2,0,2,0,0,1,9,1,0
1,3.37801,2,9.16485,0,7,2,1,1,1,2,1,1.01,1,2,1,1.01,2.03,7,31,2,1
4,5.94514,166,9.22122,8,288,46,2,2,1035,159,10,0,23,5,23,4.05,2.06,7,35,46,1
7,10.9344,24,9.4805,10,265,14,4,1,91,86,11,6.28,15,4,15,2.02,8.3,12,78,5,1
1,0,22,0,0,75,22,1,0,231,22,0,0,10,1,10,0,2.02,2,9,22,1
10,7.41111,74,0.20874,17,308,38,2,12,703,167,26,4.61,21,0,21,4.13,1.02,11,10,34,1
1,3.13741,9,9.14037,6,87,7,1,3,21,25,8,0,9,4,5,4.04,2.02,4,12,7,1
2,0,19,0,7,63,9,1,4,36,37,10,0,4,2,3,2.04,0,4,9,8,1
4,8.94961,15,9.36564,9,65,10,1,2,45,32,11,4.2,4,7,4,3.03,5.14,9,9,9,1
3,6.12708,6,9.25052,3,32,2,1,0,1,7,3,1.01,0,3,0,3.04,0,8,0,0,1
4,0,49,0,7,153,17,1,6,136,67,13,2.1,6,2,5,1.03,0,4,9,13,1
4,5.38371,16,0.132776,6,326,11,1,0,55,68,6,2.04,9,2,9,2.03,0,7,0,11,1
3,1.49003,20,0.121386,4,51,9,2,8,36,21,12,0,4,0,1,1.02,0,3,27,6,1
0,2.92733,5,9.15676,1,20,1,1,0,0,7,1,0,0,2,0,0,0,2,0,1,1
1,4.15475,0,9.19857,0,0,0,1,0,0,0,0,0,11,2,0,0,1.01,8,9,0,0
4,1.49003,6,0.121386,3,22,6,2,1,15,10,3,0,5,0,4,0,1.1,4,22,1,1
15,19.2612,9,9.64504,3,31,4,1,2,6,17,5,3.11,2,23,2,4.07,1.07,33,0,4,1
2,1.78572,32,0.052765,10,166,11,1,0,55,64,10,2.16,2,0,2,1.07,6.26,2,226,9,1
0,8.85146,7,9.34635,0,28,2,1,0,1,3,0,0,1,4,1,0,3.11,9,18,2,1
6,9.8218,6,9.38967,1,20,4,4,16,6,5,17,3.05,1,8,1,7.12,8.36,11,51,4,1
1,4.46389,7,9.17814,0,23,6,2,1,15,7,1,0,2,3,2,0,3.19,4,28,5,1
2,1.49003,12,0.121386,2,35,9,1,2,36,21,4,0,4,0,4,1.01,0,2,9,9,1
2,4.81344,15,9.22957,1,54,16,1,4,120,22,5,1.04,6,4,4,4.11,1.01,4,9,11,1
3,1.49003,50,0.121386,10,190,9,3,1,36,82,11,0,6,0,4,1.01,1.1,3,43,4,1
3,9.18576,6,9.31033,0,16,7,1,1,21,7,1,0,1,5,1,1.01,2.02,7,14,7,1
3,2.38141,2,9.07779,3,8,2,2,1,1,5,4,0,1,0,1,0,0,3,13,2,1
0,0,3,0,1,9,4,2,1,6,5,2,0,0,0,0,0,0,1,22,1,1
1,0,1,0,1,3,1,3,0,0,3,1,0,0,0,0,1.01,1.01,2,21,1,1
17,27.4251,41,9.88745,16,293,11,1,2,55,146,17,14.14,41,24,2,10.14,2.02,46,9,2,0
2,5.34175,1,9.21479,0,3,1,1,0,0,1,0,0,0,3,0,0,0,3,0,1,1
4,2.38141,3,9.07779,0,11,2,1,1,1,5,1,0,2,0,2,0,0,4,0,2,0
12,18.8025,15,9.6251,8,58,13,1,3,78,32,11,0,6,19,6,7.07,2.02,23,9,13,1
1,1.84703,6,9.09329,6,42,5,2,1,10,27,7,0,2,2,2,0,2.02,3,32,4,1
1,1.84703,4,9.09329,4,49,2,2,1,1,17,5,0,2,2,2,1.01,2.02,2,32,2,1
7,16.1747,11,9.53121,2,41,9,1,0,36,18,2,1.01,2,12,2,2.03,0,17,0,8,1
9,16.1305,48,9.66116,7,208,5,1,3,10,128,10,5.21,16,13,0,6.06,2.02,20,9,2,1
2,3.32672,7,9.15394,0,43,6,3,1,15,9,1,0,2,4,2,0,0,4,12,6,1
2,5.87331,11,9.21823,0,50,8,1,6,28,28,6,0,2,4,1,0,2.02,5,9,8,1
1,0,6,0,2,22,1,1,2,0,10,4,0,0,0,0,0,0,2,9,0,1
1,1.84703,1,9.09329,0,3,1,2,0,0,1,0,0,1,2,1,0,2.03,2,26,1,1
