numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
2,6.6749,9,3,36,7,3,5,21,19,3.04,8,4.14,3,2,2.02,2.2,4,14,6,4.28,1
0,0,10,7,50,6,4,1,15,30,0,8,0,1,0,0,0,1,51,3,0,1
7,19.4361,34,17,188,12,2,1,66,86,1.02,18,3.12,3,3,1.02,1.01,8,14,2,5.44,1
3,17.9064,27,10,160,8,1,0,28,56,2.02,10,5.17,4,4,3.08,0,5,0,6,6.39,0
3,17.0697,32,9,120,21,1,19,210,55,3.05,24,7.42,9,6,6.09,0,7,0,18,8.66,1
3,11.5477,53,11,282,21,1,5,210,130,3.04,15,3.16,10,10,3.04,1.01,5,6,9,6.46,0
9,17.2611,28,11,115,11,1,0,55,60,2.05,11,6.25,5,5,3.04,0,12,0,7,6.64,0
1,3.19695,3,1,9,3,2,0,3,5,0,1,0,0,0,0,0,1,6,3,0,1
0,4.22329,36,7,112,7,2,1,21,42,0,8,0,0,0,0,1.01,0,29,2,2.18,1
0,1.76682,4,1,16,3,1,1,3,7,0,2,0,1,1,0,0,0,0,1,0,1
0,1.77712,2,1,15,2,1,1,1,4,0,2,0,0,0,0,1.01,0,7,2,0,1
1,5.70432,3,5,17,2,2,1,1,10,1.01,6,1.01,1,1,1.01,0,1,4,1,0,0
2,3.1496,5,4,20,2,2,1,1,10,2.02,5,1.01,0,0,2.02,1.03,2,3,2,1.01,1
0,8.14056,60,14,191,24,5,2,276,116,3.03,16,1.01,9,9,3.03,2.07,0,90,22,1.01,1
1,9.57998,30,14,233,13,3,1,78,84,4.07,15,4.35,9,9,4.07,3.04,4,21,4,6.99,0
5,12.2306,22,6,98,12,1,5,66,39,3.06,11,3.35,5,3,4.1,0,8,0,9,8.13,1
0,3.11109,2,3,7,2,3,2,1,5,0,5,0,2,2,1.01,1.06,1,39,2,1.01,1
1,4.02695,1,0,3,2,2,0,1,2,0,0,0,0,0,2.02,1.01,1,18,1,0,0
1,19.1174,6,1,25,7,1,17,21,14,2.02,18,4.1,2,2,9.18,0,3,0,4,5.39,1
9,25.1599,53,10,199,29,2,9,406,126,11.22,17,16.41,6,1,12.22,2.03,11,3,4,20.01,0
2,5.77294,10,7,53,6,2,0,15,37,0,7,0,1,0,0,4.06,2,32,2,1.01,0
0,7.26892,30,12,84,9,1,1,36,62,1.02,13,1.06,3,2,1.02,1.01,0,6,2,2.07,1
0,9.37455,15,4,58,8,3,2,28,27,0,6,1.01,5,5,1.01,1.01,1,23,8,1.08,1
0,6.42599,10,8,36,8,2,4,28,36,0,12,0,1,0,1.01,1.01,0,20,8,1.05,1
1,5.98276,4,1,12,4,5,0,6,6,0,1,0,1,1,0,2.03,1,16,3,0,1
