LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,LOC_TOTAL,Defective
16,13,1,20,7,8,2.5,3,22,6,23,36.88,23.03,19562.81,149,1086.82,849.37,6,10,17,68,81,31,21,57,29,0
2,7,0,10,4,4,2.5,1,11,4,14,15.93,7.2,825.94,31,45.89,114.71,3,5,9,9,22,5,8,24,14,1
1,13,5,22,7,10,2.2,4,28,7,19,25.13,19,9073.67,91,504.09,477.56,6,11,23,38,53,19,19,21,19,0
8,3,1,4,2,2,2,2,6,1,14,31.97,10.95,3831.58,70,212.87,350,1,2,6,32,38,19,13,24,14,0
1,5,2,6,3,2,3,2,10,3,19,30.43,9.95,3010.71,60,167.26,302.66,2,3,9,27,33,19,14,23,20,0
14,11,7,20,6,10,2,1,29,1,29,42.97,21.15,19213.78,161,1067.43,908.66,5,10,25,69,92,31,19,58,29,0
6,5,3,8,3,4,2,2,11,1,12,25.16,11.2,3155.74,58,175.32,281.76,2,4,10,24,34,15,14,21,13,0
20,13,13,12,9,6,2,9,35,1,54,56.78,18.93,20355.23,176,1130.85,1075.1,3,6,28,71,105,45,24,94,54,0
6,5,1,8,3,4,2,2,9,1,5,12.29,11.25,1555.89,32,86.44,138.3,2,4,8,15,17,8,12,16,6,0
33,16,9,16,10,6,2.67,8,33,5,33,48.11,16.19,12617.28,133,700.96,779.11,5,8,25,53,80,36,22,102,45,0
1,5,1,6,3,2,3,2,9,3,7,13.8,7.86,851.86,26,47.33,108.42,2,3,8,10,16,7,11,9,7,0
0,3,1,4,2,2,2,2,7,1,4,8.57,5.25,236.11,13,13.12,44.97,1,2,7,6,7,4,7,5,4,0
2,5,3,8,3,4,2,3,15,1,14,33.76,11.7,4621.5,79,256.75,395,2,4,14,39,40,20,12,19,15,0
13,11,1,20,6,10,2,2,23,1,26,56.04,22.34,27977.56,228,1554.31,1252.14,5,10,19,110,118,32,13,52,30,0
1,35,6,52,18,18,2.89,6,58,13,26,37.58,34.62,45032.28,224,2501.79,1300.85,17,26,42,107,117,34,22,28,26,0
57,129,24,252,65,124,2.02,41,276,34,179,150.67,48.83,359267.3,981,19959.29,7357.35,64,126,213,438,543,148,33,252,186,0
6,9,0,16,5,8,2,1,17,5,23,22.35,17,6460,76,358.89,380,4,8,14,30,46,15,17,30,23,0
5,10,5,10,6,4,2.5,5,23,1,28,38.67,25.92,25983.73,175,1443.54,1002.39,3,5,19,79,96,32,21,39,29,0
5,5,3,8,3,4,2,3,14,1,14,19.08,9.9,1869.81,43,103.88,188.87,2,4,13,18,25,10,11,22,15,0
22,23,1,40,12,18,2.22,6,42,4,23,50.37,18.03,16367.05,155,909.28,907.99,11,20,32,74,81,39,19,69,27,1
1,7,0,12,4,6,2,1,14,1,26,47.13,21.56,21902.46,185,1216.8,1015.99,3,6,12,59,126,26,19,28,26,0
0,11,3,20,6,10,2,4,26,1,22,33.56,12.02,4852.71,80,269.59,403.55,5,10,22,37,43,20,13,23,22,0
1,3,0,4,2,2,2,1,6,1,8,12.48,8.33,866.67,26,48.15,104,1,2,6,10,16,6,10,10,8,0
1,7,0,12,4,6,2,1,15,1,10,6.88,24.38,4084.91,41,226.94,167.59,3,6,13,15,26,4,13,12,10,0
2,9,5,12,5,4,3,5,18,4,20,23.94,16.5,6517.5,79,362.08,395,4,6,15,33,46,16,16,23,20,0
13,9,0,16,5,8,2,1,18,5,23,28.71,23.33,15633.33,134,868.52,670,4,8,15,60,74,18,14,42,23,0
1,13,2,22,7,10,2.2,3,24,1,27,18.92,19.63,7291.52,73,405.08,371.38,6,11,19,31,42,15,19,29,27,0
24,15,4,26,8,12,2.17,7,37,4,54,75.27,22.24,37216.01,274,2067.56,1673.74,7,13,31,126,148,51,18,100,61,0
15,9,4,14,5,6,2.33,3,21,3,31,61.27,44.61,121958.52,446,6775.47,2733.66,4,7,18,151,295,44,26,63,45,0
0,7,2,12,4,6,2,3,13,1,17,25.96,11.15,3229.13,64,179.4,289.51,3,6,11,29,35,13,10,18,17,0
0,3,0,4,2,2,2,1,5,1,5,7.24,16.88,2060.67,33,114.48,122.11,1,2,5,15,18,4,9,6,5,0
1,9,0,16,5,8,2,1,18,5,11,8.42,20.4,3502.14,42,194.56,171.67,4,8,15,17,25,5,12,13,11,0
0,3,0,4,2,2,2,1,6,1,0,13.29,3,119.59,12,6.64,39.86,1,2,6,4,8,4,6,1,0,0
6,3,0,4,2,2,2,1,6,1,10,20.54,7.7,1217.55,36,67.64,158.12,1,2,6,14,22,10,11,20,10,0
