LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MODIFIED_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
17,11,5,6,0.25,4,0.67,29,1,22,37.84,13.83,7233.63,102,401.87,523.19,5,25,0.11,53,49,23,12,57,31.25,24,0
2,9,3,5,0.56,3,0.6,17,4,9,12.5,13,2112.7,37,117.37,162.52,5,14,0.36,13,24,7,14,14,10,9,0
2,5,1,3,0.17,2,0.67,8,3,17,15.99,12.44,2476.9,44,137.61,199.04,2,7,0.13,16,28,9,14,23,10.53,18,0
4,5,1,3,0.3,2,0.67,11,1,10,21.06,5.85,720.66,29,40.04,123.19,2,10,0.19,13,16,10,9,16,0,10,0
7,5,1,3,0.15,1,0.33,11,1,17,21.09,13,3563.68,72,197.98,274.13,0,10,0.11,26,46,7,7,28,15,20,0
5,11,5,6,0.46,5,0.83,26,1,13,27.56,14.4,5715.21,89,317.51,396.89,5,22,0.25,24,65,10,12,24,0,13,0
2,1,0,1,0.33,1,1,1,1,3,8.98,2.5,56.15,8,3.12,22.46,0,2,0.14,2,6,2,5,7,0,3,0
2,5,0,3,0.33,1,0.33,9,1,9,12.72,10.31,1352.83,29,75.16,131.18,0,8,0.23,11,18,8,15,13,0,9,0
36,21,1,11,0.16,3,0.27,42,1,51,15.89,87.82,122506.36,279,6805.91,1395,10,33,0.07,92,187,11,21,150,54.46,69,1
1,9,3,5,0.28,5,1,24,1,18,31.67,17.05,9208.55,109,511.59,540.01,0,21,0.24,54,55,19,12,21,0,18,0
6,5,1,3,0.25,1,0.33,11,1,11,12.3,29,10341.88,75,574.55,356.62,2,10,0.13,29,46,9,18,24,31.25,12,0
0,69,8,35,1,11,0.31,141,19,0,0,0,0,0,0,0,0,108,0.44,0,0,0,0,80,0,0,0
1,3,1,2,0.09,1,0.5,6,1,21,27.56,24.75,16880.93,139,937.83,682.06,1,6,0.04,33,106,12,18,45,48.78,22,0
10,17,1,9,0.31,5,0.56,31,7,28,13.96,25.07,8776.91,81,487.61,350.08,8,24,0.2,27,54,7,13,44,12.5,29,0
4,5,1,3,0.16,1,0.33,11,1,19,35.24,18,11416.47,120,634.25,634.25,2,10,0.09,42,78,21,18,33,29.63,19,0
3,3,0,2,0.18,1,0.5,6,1,10,8.34,18.67,2905.92,45,161.44,155.67,0,6,0.11,14,31,3,8,18,23.08,11,0
4,19,2,10,0.91,9,0.9,33,1,11,18.36,24.23,10774.87,97,598.6,444.74,0,25,0.59,41,56,11,13,17,0,11,0
