LOC_BLANK,BRANCH_COUNT,CONDITION_COUNT,DECISION_COUNT,EDGE_COUNT,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
48,57,106,50,161,165,204.29,41.72,355647.88,1112,19758.22,8523.85,53,134,463,649,172,31,307,36.05,226,0
7,9,14,6,20,27,24.71,21.86,11802.86,108,655.71,540,7,17,34,74,14,18,44,25,31,0
7,5,8,4,10,22,55.95,7.24,2931.85,81,162.88,405,4,9,37,44,23,9,32,8.33,24,0
9,15,28,14,30,27,35.27,13.74,6655.21,93,369.73,484.48,14,24,29,64,19,18,73,57.14,41,0
8,7,10,4,11,15,17.03,14.68,3670.2,52,203.9,249.98,5,9,19,33,11,17,23,51.61,17,0
39,9,16,8,24,60,97.85,22.12,47876.6,331,2659.81,2164.46,8,21,114,217,67,26,146,27.71,69,0
5,3,4,2,5,10,15.6,6.67,693.33,26,38.52,104,2,5,8,18,6,10,32,61.54,14,0
2,3,4,2,6,12,20.76,2.5,129.72,15,7.21,51.89,2,6,6,9,6,5,17,14.29,14,0
14,5,8,4,13,47,59.87,15.65,14671.27,150,815.07,937.19,4,12,82,68,55,21,121,45.35,47,0
6,7,8,2,12,17,25,13.6,4624,68,256.89,340,4,10,24,44,15,17,26,10.53,18,0
21,7,12,6,19,30,45.35,25.34,29117.23,193,1617.62,1149.16,6,17,75,118,37,25,84,51.61,40,0
32,13,24,12,38,59,104.75,22.14,51324.87,349,2851.38,2318.71,12,33,126,223,74,26,138,39.8,75,1
25,11,20,10,24,22,25.24,19.95,10047.02,94,558.17,503.61,10,20,38,56,20,21,80,59.26,33,0
3,11,16,6,18,15,7.45,30.8,7065.15,54,392.51,229.39,8,14,22,32,5,14,19,0,15,0
82,43,74,36,117,176,140.31,37.2,194194.61,696,10788.59,5219.89,37,96,280,416,143,38,390,37.59,182,0
5,5,8,4,15,20,38.85,12.28,5856.79,93,325.38,477.02,4,14,26,67,18,17,29,13.04,20,0
13,5,8,4,10,19,37.6,9.75,3574.45,74,198.58,366.61,4,9,27,47,18,13,49,45.71,28,0
5,7,10,4,12,22,21.05,14.77,4591.91,64,255.11,310.91,5,10,24,40,13,16,28,0,22,0
1,3,4,2,6,10,10.75,7,526.99,21,29.28,75.28,2,6,7,14,4,8,12,0,10,0
27,3,4,2,7,22,37.27,15.43,8872.37,114,492.91,575.06,2,7,54,60,21,12,70,47.62,23,1
1,3,4,2,8,19,33.23,9.41,2943.55,62,163.53,312.75,2,8,20,42,17,16,24,13.64,19,0
14,7,12,6,16,20,47.35,11.12,5850.56,97,325.03,526.35,6,14,34,63,26,17,50,42.86,23,0
0,7,10,4,20,23,34.26,11.57,4586.97,75,254.83,396.41,5,18,27,48,21,18,48,51.06,24,0
16,11,18,8,28,22,37.5,29.45,32535.15,187,1807.51,1104.59,9,24,72,115,33,27,50,33.33,25,0
1,5,8,4,13,28,47.22,11.69,6449.49,103,358.3,551.83,4,12,33,70,24,17,41,28.21,28,0
15,7,12,6,15,13,26.75,11.03,3253.68,59,180.76,295,6,13,25,34,17,15,40,45.83,16,0
34,17,30,14,44,66,76.03,28.98,63864.99,342,3548.06,2203.49,15,37,136,206,61,26,132,31.96,71,0
1,5,8,4,9,9,12.09,14.14,2417.96,41,134.33,170.97,4,8,18,23,7,11,11,0,9,0
10,29,56,28,74,149,118.83,46.92,261640.64,781,14535.59,5575.99,28,61,333,448,110,31,227,31.02,151,0
5,7,12,6,17,24,26.32,16,6737.71,85,374.32,421.11,6,15,30,55,15,16,35,17.24,27,0
35,31,52,22,68,76,108.35,33.87,124313.16,526,6906.29,3670.05,26,54,199,327,94,32,157,37.19,104,0
49,41,78,38,104,60,78.4,74.77,438244.07,821,24346.89,5861.57,39,85,319,502,96,45,163,46.9,76,0
6,11,16,6,18,14,15.76,17.6,4880.94,59,271.16,277.33,8,14,22,37,10,16,25,22.22,16,0
7,3,4,2,8,14,25.23,9.5,2277.36,51,126.52,239.72,2,8,19,32,13,13,31,39.13,16,0
19,3,4,2,23,33,64.01,11.65,8684.99,135,482.5,745.68,2,23,66,69,34,12,55,5.71,35,0
10,7,12,6,21,17,31.11,12.06,4520.83,75,251.16,375,6,19,31,44,18,14,34,26.09,22,0
3,3,4,2,5,8,10.63,3.75,149.49,12,8.3,39.86,2,5,5,7,4,6,19,46.67,9,0
4,11,20,10,38,25,42.36,23.73,23858.84,182,1325.49,1005.29,10,34,89,93,30,16,33,10.71,28,0
22,19,28,14,55,63,40.21,43.24,75169.98,292,4176.1,1738.63,14,46,105,187,34,28,88,3.08,64,0
22,29,44,16,45,46,61.1,22.3,30377.95,239,1687.66,1362.41,22,32,110,129,37,15,112,48.31,54,0
14,7,12,6,15,21,49.79,9.48,4476.07,87,248.67,472.09,6,13,32,55,27,16,52,43.24,32,0
9,7,12,6,17,17,26.81,10.4,2899.8,58,161.1,278.83,6,15,24,34,15,13,31,19.05,21,0
7,7,12,6,14,23,46.9,10.5,5170.32,96,287.24,492.41,6,12,28,68,20,15,37,20.69,24,0
9,5,8,4,10,16,39.8,9,3223.83,73,179.1,358.2,4,9,27,46,18,12,42,50,26,0
2,9,16,8,41,30,78,13.61,14437.64,189,802.09,1061.18,8,38,94,95,38,11,34,3.23,31,0
