BRANCH_COUNT,CYCLOMATIC_COMPLEXITY,DECISION_COUNT,DESIGN_DENSITY,EDGE_COUNT,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
7,4,4,1,26,25,73.59,5.95,2602.12,84,144.56,437.59,4,24,37,47,28,9,38,21.88,25,0
21,11,4,0.18,32,36,47.96,18.75,16859.61,161,936.64,899.18,12,23,75,86,32,16,45,7.69,37,0
5,3,4,0.33,10,9,14.06,7.5,791.15,27,43.95,105.49,4,9,10,17,6,9,16,30.77,9,0
5,3,4,0.67,13,16,20.14,12.83,3317.73,55,184.32,258.51,4,12,22,33,12,14,35,48.39,16,1
5,3,4,0.67,13,7,14.4,11.88,2030.23,41,112.79,170.97,4,12,19,22,8,10,16,41.67,7,0
16,9,12,0.33,34,35,17.38,36,22527.81,122,1251.55,625.77,12,27,54,68,15,20,50,7.89,35,0
3,2,2,1,9,13,25.81,7.08,1295.09,41,71.95,182.84,2,9,17,24,12,10,20,18.75,13,0
7,4,6,0.5,23,26,44.19,10.02,4437.26,85,246.51,442.8,6,21,37,48,24,13,51,35,26,0
19,10,12,0.7,43,42,45.15,21.11,20115.78,162,1117.54,952.99,14,35,71,91,37,22,66,23.64,42,0
5,3,4,1,16,17,38.07,9.14,3182.29,69,176.79,348.06,4,15,32,37,21,12,33,26.09,17,0
5,3,4,1,13,16,37.53,5.5,1135.41,47,63.08,206.44,4,12,22,25,14,7,28,27.27,16,0
31,16,20,0.63,70,59,71.74,17.83,22807.44,206,1267.08,1279.15,25,56,90,116,53,21,86,15.71,59,1
23,12,16,0.75,58,45,91.36,12.65,14630.58,188,812.81,1156.15,19,48,87,101,55,16,69,19.64,45,1
11,6,6,0.83,50,44,67.17,16.45,18176.24,192,1009.79,1104.94,8,46,94,98,40,14,73,22.81,44,0
3,2,2,1,10,10,24.36,10.97,2930.73,55,162.82,267.19,2,10,27,28,16,13,13,0,10,0
23,12,22,0.17,47,48,30.32,47.53,68495.54,246,3805.31,1441.06,22,37,117,129,32,26,71,21.31,48,0
3,2,2,0.5,6,9,14.17,3.75,199.32,16,11.07,53.15,2,6,5,11,4,6,12,10,9,0
7,4,2,0.5,16,9,27.77,6.77,1272.5,41,70.69,187.98,4,14,16,25,13,11,13,10,9,0
10,7,4,1,23,32,36.52,16.3,9698.89,106,538.83,595.16,4,18,40,66,27,22,38,0,32,0
3,2,2,1,8,9,30.84,4.96,758.26,36,42.13,152.93,2,8,17,19,12,7,13,10,9,0
3,2,2,1,21,9,95.59,5.98,3422.92,109,190.16,572.02,2,21,53,56,31,7,27,64,25,0
19,11,10,0.55,35,49,37.25,32.25,38746.22,201,2152.57,1201.43,12,26,86,115,36,27,61,0,49,0
7,4,4,0.25,12,14,20.31,10.77,2355.5,46,130.86,218.72,5,10,20,26,13,14,27,33.33,14,0
7,4,2,0.5,13,12,24.24,11.7,3318.52,59,184.36,283.63,4,11,27,32,15,13,22,33.33,12,0
3,2,2,1,6,6,12.26,7.33,659.44,22,36.64,89.92,2,6,8,14,6,11,8,14.29,6,0
5,3,4,1,13,12,30.84,4.96,758.26,36,42.13,152.93,4,12,17,19,12,7,15,7.69,12,0
9,5,6,0.6,16,17,27.02,8.8,2092.15,50,116.23,237.74,7,13,22,28,15,12,23,0,17,0
3,2,2,1,7,11,17.11,7.7,1014.63,30,56.37,131.77,2,7,14,16,10,11,14,0,11,0
