total_loc,comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_density,normalized_cyclomatic_complexity,defects
7,4,3,8,6,10,12,14,22,58,0.27,3.7,214.81,11.93,0,0,1,0.33,0,0,0.14,0
9,1,8,7,8,15,20,15,35,94,0.12,8.33,783.33,43.52,2,0,2,0.25,0,0,0.22,0
21,14,7,15,12,21,36,27,57,187,0.12,8.33,1558.33,86.57,8,4,4,0.57,1,0.25,0.19,0
30,11,19,16,18,50,70,34,120,423,0.04,25,10575,587.5,20,9,9,0.47,1.11,0.11,0.3,1
8,2,6,4,5,5,10,9,15,32,0.32,3.13,100,5.56,2,1,2,0.33,1,0.5,0.25,0
7,1,6,4,5,4,11,9,15,32,0.4,2.5,80,4.44,2,0,2,0.33,0,1,0.29,0
22,5,17,15,9,38,50,24,88,279,0.09,11.11,3100,172.22,16,8,5,0.29,1,0,0.23,0
32,10,22,19,9,26,46,28,72,239,0.16,6.25,1493.75,82.99,16,8,7,0.32,1,0.43,0.22,0
14,5,9,13,8,22,30,21,52,158,0.15,6.67,1053.33,58.52,4,2,2,0.22,1,1.5,0.14,0
9,1,8,8,8,10,18,16,28,77,0.2,5,385,21.39,4,2,3,0.38,1,0,0.33,0
3,0,3,3,4,3,5,7,8,15,0.5,2,30,1.67,0,0,1,0.33,0,0,0.33,0
8,0,8,7,7,8,14,14,22,58,0.25,4,232,12.89,4,2,2,0.25,1,0,0.25,0
7,1,6,8,7,10,16,15,26,70,0.23,4.35,304.35,16.91,2,1,2,0.33,1,0,0.29,0
45,16,29,22,11,40,65,33,105,367,0.1,10,3670,203.89,18,9,7,0.24,1,0.57,0.16,0
10,5,5,6,5,7,16,11,23,55,0.34,2.94,161.76,8.99,6,3,3,0.6,1,1,0.3,0
8,0,8,6,12,14,22,18,36,104,0.07,14.29,1485.71,82.54,2,0,2,0.25,0,0,0.25,0
10,1,9,9,11,17,29,20,46,137,0.1,10,1370,76.11,2,0,2,0.22,0,1.5,0.2,0
9,2,7,6,7,9,18,13,27,69,0.19,5.26,363.16,20.18,4,2,2,0.29,1,1,0.22,0
6,0,6,9,7,21,23,16,44,121,0.12,8.33,1008.33,56.02,0,0,1,0.17,0,4,0.17,1
6,0,6,9,9,22,32,18,54,156,0.09,11.11,1733.33,96.3,0,0,1,0.17,0,0,0.17,0
8,3,5,5,4,5,9,9,14,30,0.5,2,60,3.33,0,0,1,0.2,0,3,0.13,0
9,2,7,7,8,9,15,15,24,64,0.19,5.26,336.84,18.71,2,1,2,0.29,1,0,0.22,0
21,2,19,16,8,36,47,24,83,263,0.11,9.09,2390.91,132.83,8,4,5,0.26,1,0.8,0.24,0
7,0,7,8,4,8,11,12,19,47,0.5,2,94,5.22,0,0,1,0.14,0,1,0.14,0
6,0,6,7,4,7,9,11,16,38,0.5,2,76,4.22,0,0,1,0.17,0,0,0.17,0
13,0,13,12,9,25,30,21,55,167,0.11,9.09,1518.18,84.34,2,0,2,0.15,0,0,0.15,0
20,0,20,12,6,13,26,18,39,112,0.31,3.23,361.29,20.07,10,5,4,0.2,1,0,0.2,0
21,0,21,12,6,13,26,18,39,112,0.31,3.23,361.29,20.07,10,5,4,0.19,1,0,0.19,0
22,6,16,14,7,20,33,21,53,161,0.2,5,805,44.72,10,5,4,0.25,1,0,0.18,0
25,10,15,18,16,40,58,34,98,345,0.06,16.67,5750,319.44,14,6,7,0.47,1.17,0.14,0.28,0
33,14,19,17,17,45,62,34,107,377,0.04,25,9425,523.61,12,5,6,0.32,1.2,0.33,0.18,0
9,3,6,5,9,8,15,14,23,60,0.14,7.14,428.57,23.81,4,2,3,0.5,1,0,0.33,0
4,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,3.7,0,0,1,0.25,0,0,0.25,0
4,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,3.7,0,0,1,0.25,0,0,0.25,0
3,0,3,3,5,4,6,8,10,20,0.3,3.33,66.67,3.7,0,0,1,0.33,0,0,0.33,0
3,0,3,4,5,5,6,9,11,24,0.32,3.13,75,4.17,0,0,1,0.33,0,0,0.33,0
